11710	46800.0000000000	42165.5079267958	0.0000144658	0.0000336783	1.5708271304	1.5743659646	0.7311609003
11710	50400.0000000002	42166.0300313091	0.0000285941	0.0000362768	1.5708299156	1.5743692542	0.9936827786
11710	54000.0000000062	42166.4582109148	0.0000395436	0.0000369869	1.5708321779	1.5743740267	1.2562040750
11710	57600.0000000347	42166.6714409603	0.0000448968	0.0000359272	1.5708332340	1.5743797601	1.5187232040
11710	61200.0000000889	42166.6167454557	0.0000434677	0.0000344069	1.5708327706	1.5743856447	1.7812379764
11710	64800.0000001398	42166.3221176042	0.0000358786	0.0000339913	1.5708309331	1.5743908496	2.0437463610
11710	68400.0000001464	42165.8796061173	0.0000241248	0.0000354938	1.5708282463	1.5743947767	2.3062472383
11710	72000.0000000970	42165.4109437021	0.0000105184	0.0000385607	1.5708254215	1.5743972081	2.5687409073
11710	75600.0000000282	42165.0322152479	-0.0000032860	0.0000419953	1.5708231394	1.5743983168	2.8312292159
11710	79199.9999999994	42164.8281582230	-0.0000166993	0.0000444964	1.5708218803	1.5743985726	3.0937153131
11710	82799.9999999858	42164.8386419054	-0.0000299738	0.0000453550	1.5708218335	1.5743985952	3.3562031118
11710	86399.9999999610	42165.0554209298	-0.0000435816	0.0000447802	1.5708228836	1.5743989996	3.6186965924
11711	3599.9999999384	42165.4267172501	-0.0000575433	0.0000437471	1.5708246603	1.5744002632	3.8811990881
11711	7199.9999999311	42165.8681598105	-0.0000710221	0.0000434591	1.5708266333	1.5744026337	4.1437126825
11711	10799.9999999436	42166.2791030891	-0.0000823786	0.0000446778	1.5708282329	1.5744060862	4.4062378300
11711	14399.9999999683	42166.5627529982	-0.0000896809	0.0000472365	1.5708289751	1.5744103363	4.6687732731
11711	17999.9999999910	42166.6472595909	-0.0000914570	0.0000500012	1.5708285703	1.5744149055	4.9313162798
11711	21600.0000000002	42166.5037537567	-0.0000873355	0.0000513446	1.5708269935	1.5744192300	5.1938631654
11711	25200.0000000172	42166.1568841247	-0.0000782360	0.0000499476	1.5708245002	1.5744227915	5.4564100019
11711	28800.0000000718	42165.6841217972	-0.0000659717	0.0000455390	1.5708215809	1.5744252471	5.7189533691
11711	32400.0000001102	42165.2019771212	-0.0000524245	0.0000391661	1.5708188572	1.5744265285	5.9814909829
11711	36000.0000001013	42164.8400940797	-0.0000387153	0.0000327882	1.5708169365	1.5744268850	6.2440220474
11711	39600.0000000586	42164.7075780752	-0.0000248515	0.0000283378	1.5708162512	1.5744268513	0.2233619248
11711	43200.0000000184	42164.8593509497	-0.0000101201	0.0000267283	1.5708169226	1.5744271338	0.4858829544
11711	46800.0000000016	42165.2729355980	0.0000059344	0.0000273960	1.5708186904	1.5744284269	0.7484019043
11711	50400.0000000000	42165.8462396561	0.0000225333	0.0000287247	1.5708209487	1.5744312012	1.0109203953
11711	54000.0000000003	42166.4224163150	0.0000374023	0.0000291633	1.5708229017	1.5744355286	1.2734389396
11711	57600.0000000112	42166.8376971774	0.0000475592	0.0000283231	1.5708238092	1.5744410218	1.5359566733
11711	61200.0000000530	42166.9756175388	0.0000507517	0.0000272720	1.5708232343	1.5744469353	1.7984715964
11711	64800.0000001196	42166.8047960201	0.0000466027	0.0000277893	1.5708211907	1.5744524029	2.0609812577
11711	68400.0000001665	42166.3844394332	0.0000366960	0.0000311327	1.5708181227	1.5744567149	2.3234836529
11711	72000.0000001498	42165.8385688995	0.0000236137	0.0000371960	1.5708147373	1.5744595203	2.5859780280
11711	75600.0000000758	42165.3140759980	0.0000096344	0.0000445669	1.5708117728	1.5744608887	2.8484653406
11711	79200.0000000079	42164.9402043737	-0.0000041192	0.0000513278	1.5708097942	1.5744612402	3.1109482623
11711	82799.9999999935	42164.8002811523	-0.0000177228	0.0000560435	1.5708090702	1.5744611950	3.3734307546
11711	86399.9999999678	42164.9184717460	-0.0000318262	0.0000583946	1.5708095416	1.5744614020	3.6359173431
11712	3599.9999999353	42165.2598674629	-0.0000467906	0.0000591905	1.5708108671	1.5744623884	3.8984122649
11712	7199.9999999148	42165.7411516683	-0.0000620470	0.0000598144	1.5708125208	1.5744644535	4.1609186658
11712	10799.9999999189	42166.2492266835	-0.0000759861	0.0000613979	1.5708139183	1.5744676193	4.4234380046
11712	14399.9999999449	42166.6649925019	-0.0000864308	0.0000641285	1.5708145465	1.5744716390	4.6859697784
11712	17999.9999999772	42166.8887054358	-0.0000914745	0.0000670383	1.5708140756	1.5744760601	4.9485116220
11712	21599.9999999976	42166.8625218217	-0.0000902834	0.0000684038	1.5708124322	1.5744803301	5.2110597667
11712	25200.0000000039	42166.5855879398	-0.0000834577	0.0000665897	1.5708098190	1.5744839244	5.4736097679
11712	28800.0000000626	42166.1177743936	-0.0000727444	0.0000609360	1.5708066754	1.5744864725	5.7361573565
11712	32400.0000001340	42165.5699160844	-0.0000602116	0.0000522257	1.5708035839	1.5744878561	5.9986992318
11712	36000.0000001556	42165.0809604380	-0.0000472946	0.0000424512	1.5708011360	1.5744882567	6.2612336197
11712	39600.0000001164	42164.7853663624	-0.0000342290	0.0000339407	1.5707997849	1.5744881352	0.2405751541
11712	43200.0000000541	42164.7770470802	-0.0000202333	0.0000282655	1.5707997152	1.5744881397	0.5030958669
11712	46800.0000000121	42165.0786926523	-0.0000044107	0.0000255263	1.5708007649	1.5744889502	0.7656127256
11712	50400.0000000003	42165.6266851572	0.0000131083	0.0000244750	1.5708024347	1.5744910878	1.0281280141
11712	54000.0000000000	42166.2804988140	0.0000305120	0.0000234768	1.5708040007	1.5744947399	1.2906431849
11712	57600.0000000019	42166.8594303071	0.0000446962	0.0000217558	1.5708047211	1.5744996648	1.5531582955
11712	61200.0000000246	42167.1983589082	0.0000526190	0.0000200777	1.5708040767	1.5745052332	1.8156719300
11712	64800.0000000852	42167.2025276282	0.0000528224	0.0000203282	1.5708019529	1.5745106138	2.0781816688
11712	68400.0000001579	42166.8780587143	0.0000461074	0.0000242356	1.5707986804	1.5745150398	2.3406849679
11712	72000.0000001834	42166.3255715954	0.0000349239	0.0000321454	1.5707949134	1.5745180459	2.6031801507
11712	75600.0000001301	42165.7027166027	0.0000219564	0.0000426863	1.5707914075	1.5745195841	2.8656671801
11712	79200.0000000390	42165.1742648339	0.0000088598	0.0000534773	1.5707887922	1.5745199924	3.1281479736
11712	82799.9999999990	42164.8684776885	-0.0000041545	0.0000623381	1.5707874149	1.5745198574	3.3906261898
11712	86399.9999999780	42164.8501659955	-0.0000178151	0.0000682657	1.5707872858	1.5745198346	3.6531065728
11713	3599.9999999398	42165.1123481330	-0.0000328061	0.0000717017	1.5707881111	1.5745204832	3.9155940348
11713	7199.9999999057	42165.5837888740	-0.0000488950	0.0000740419	1.5707893901	1.5745221467	4.1780926933
11713	10799.9999998963	42166.1482785906	-0.0000646205	0.0000767019	1.5707905427	1.5745248937	4.4406050683
